Type,Table Number,TFL ID,Program Name,Population,Title1,Title2,Title3,Title4,Title5,Title6,Title7,Title8,Title9,Title10,Footnote1,Footnote2,Footnote3,Footnote4,Footnote 5,Footnote 6,Footnote7,Footnote8,Footnote9,Footnote10
Table,13.01.01,,,Intent-to-treat,Summary of Patient Disposition,,,,,,,,,,[a] All patients randomized.,[b] All randomized subjects known to have taken at least one dose of randomized study drug.,[c] All subjects in the receiving treatment who also have at least one post-baseline ADAS-Cog and CIBIC+ assessment.,[d] Based on either patient/caregiver perception or physician perception.,Percentages are calculated from the number of patients randomized.,,,,,
Table,X.X.X.X,,,All subjects,Summary of Patient Disposition,,,,,,,,,,,,,,,,,,,
Table,13.1.1.3,t_dem1,t_dem1,Intent-to-treat,Summary of Demographic and Baseline Characteristics,,,,,,,,,,SD = Standard deviation. Min = Minimum. Max = Maximum.,MMSE = Mini-mental state examination; the highest score is 30. ,[a] P-values are results of ANOVA treatment group comparisons for continuous variables and Pearson’s chisquare test for,     categorical variables.,[b] Percentages were calculated out of total number of MMSE scores available. ,[c] Computed as months between date of enrollment and date of onset of the first definite symptoms of Alzheimer's disease.,"[d] For weight and BMI, Baseline is at Visit 3; Visit 1 for height",,,
Table,13.1.1.5,,,Efficacy,Primary Endpoint Analysis: ADAS Cog (11) - Change from Baseline to Week 24 - LOCF,,,,,,,,,,,,,,,,,,,
Table ,13.1.1.6,,,Efficacy,Primary Endpoint Analysis: CIBI+ - Summary at Week 24 - LOCF,,,,,,,,,,,,,,,,,,,
Table,13.1.1.7,,,Efficacy,ADAS Cog (11) - Change from Baseline to Week 8 - LOCF,,,,,,,,,,,,,,,,,,,
Table,13.1.1.8,,,Efficacy,CIBI+ - Summary at Week 8 - LOCF,,,,,,,,,,,,,,,,,,,
Table,13.1.1.9,,,Efficacy,ADAS Cog (11) - Change from Baseline to Week 16 - LOCF,,,,,,,,,,,,,,,,,,,
Table,13.1.1.10,,,Efficacy,CIBI+ - Summary at Week 16 - LOCF,,,,,,,,,,,,,,,,,,,
Table,13.1.1.11,,,Efficacy,ADAS Cog (11) - Change from Baseline to Week 24 - Completers at Week 24- Observed cases - Windowed,,,,,,,,,,,,,,,,,,,
Table,13.1.1.12,,,Efficacy,ADAS Cog (11) - Change from Baseline to Week 24 in Male subjects - LOCF,,,,,,,,,,,,,,,,,,,
Table,13.1.1.13,,,Efficacy,ADAS Cog (11) - Change from Baseline to Week 24 in Female subjects - LOCF,,,,,,,,,,,,,,,,,,,
Table,13.1.1.14,,,Efficacy,ADAS Cog (11) - Mean and mean change from Baseline over time,,,,,,,,,,,,,,,,,,,
Table,13.1.1.15,,,Efficacy,ADAS Cog (11) - Repeated measures analysis of change from Baseline to Week 24,,,,,,,,,,,,,,,,,,,
Table,13.1.1.16,,,Efficacy,Mean NPI-X Total Score from Week 4 through Week 24 - Windowed,,,,,,,,,,,,,,,,,,,
Table,13.1.1.17,t_exp,t_exp,Efficacy,Summary of Planned Exposure to Study drug,,,,,,,,,,SD = Standard deviation. Min = Minimum. Max = Maximum.,[1] Includes completers and early terminations.,[2] End of study refers to Week 26/Early termination,,,,,,,
Table ,X.X.X.X,,,Safety ,Overview of Treatment-Emergent Adverse events,,,,,,,,,,,,,,,,,,,
Table ,X.X.X.X,,,Safety ,Summary of Treatment-Emergent Adverse events by System Organ Class and Preferred term ,,,,,,,,,,,,,,,,,,,
Table ,X.X.X.X,,,Safety ,Summary of Treatment-Emergent Serious Adverse events by System Organ Class and Preferred term ,,,,,,,,,,,,,,,,,,,
Table ,X.X.X.X,,,Safety ,"Summary of Treatment-Emergent Adverse events by System Organ Class, Preferred term and CTCAE grade",,,,,,,,,,,,,,,,,,,
Table ,X.X.X.X,,,Safety ,"Summary of Treatment-Emergent Adverse events by System Organ Class, Preferred term and relationship to study treatment",,,,,,,,,,,,,,,,,,,
Table ,X.X.X.X,,,Safety ,Summary of Treatment-Emergent Adverse events leading to Death by System Organ Class and Preferred term ,,,,,,,,,,,,,,,,,,,
Table,X.X.X.X,,,Safety ,Summary of Adverse events of Special Interest by System Organ Class and Preferred term ,,,,,,,,,,,,,,,,,,,
Table,13.1.1.20,,,Safety ,Summary statistics of Continuous Laboratory Values,,,,,,,,,,,,,,,,,,,
Table,13.1.1.21,,,Safety ,Frequency of Normal and Abnormal (Beyond Normal Range) Laboratory Values During Treatment,,,,,,,,,,,,,,,,,,,
Table,13.1.1.22,,,Safety ,Frequency of Normal and Abnormal (Clinically Significant Change from Previous Visit) Laboratory Values During Treatment,,,,,,,,,,,,,,,,,,,
Table,13.1.1.23,,,Safety ,"Shifts of Laboratory values during Treatment, categorized based on threshold ranges, by Visit",,,,,,,,,,,,,,,,,,,
Table,13.1.1.24,,,Safety ,"Shifts of Laboratory values during Treatment, categorized based on threshold ranges",,,,,,,,,,,,,,,,,,,
Table,13.1.1.25,,,Safety ,Shift of Hy's Law values during Treatment,,,,,,,,,,,,,,,,,,,
Table,13.1.1.26,,,Safety ,Summary of Vital Signs at Baseline and End of Treatment,,,,,,,,,,,,,,,,,,,
Table,13.1.1.27,,,Safety ,Summary of Vital Signs Change From Baseline at End of Treatment,,,,,,,,,,,,,,,,,,,
Table,13.1.1.28,,,Safety ,Summary of Weight Change from Baseline at End of Treatment,,,,,,,,,,,,,,,,,,,
Table,13.1.1.29,,,All subjects,Summary of Concomitant Medications,,,,,,,,,,,,,,,,,,,
